Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:58,2021-05-22 10:48:59,1.013s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:48:59,0.019s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:48:59,0.107s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:48:59,0.201s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:48:59,0.015s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:48:59,0.033s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-22 10:48:59,2021-05-22 10:49:00,0.737s,PASSED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 90.0.4430.212,,,2021-05-22 10:49:00,2021-05-22 10:49:02,2.291s,PASSED
waitForPageLoad(TimeOut),Chrome 90.0.4430.212,,,2021-05-22 10:49:02,2021-05-22 10:49:03,0.014s,PASSED
maximizeWindow(),Chrome 90.0.4430.212,,,2021-05-22 10:49:03,2021-05-22 10:49:03,0.122s,PASSED
"click(findTestObject(""W3School/TryItBtn""))",Chrome 90.0.4430.212,,,2021-05-22 10:49:03,2021-05-22 10:49:03,0.109s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-22 10:49:03,2021-05-22 10:49:04,1.008s,PASSED
switchToWindowIndex(1),Chrome 90.0.4430.212,,,2021-05-22 10:49:04,2021-05-22 10:49:04,0.018s,PASSED
"switchToFrame(findTestObject(""W3School/TryItButtonFrame""), TimeOut)",Chrome 90.0.4430.212,,,2021-05-22 10:49:04,2021-05-22 10:49:04,0.144s,PASSED
"click(findTestObject(""W3School/TryButton""))",Chrome 90.0.4430.212,,,2021-05-22 10:49:04,2021-05-22 10:49:04,0.139s,PASSED
acceptAlert(),Chrome 90.0.4430.212,,,2021-05-22 10:49:04,2021-05-22 10:49:04,0.023s,PASSED
switchToDefaultContent(),Chrome 90.0.4430.212,,,2021-05-22 10:49:04,2021-05-22 10:49:04,0.013s,PASSED
